R1	Freq_tr(Hz)	V_tr(V)	DC_tr(V)	Freq_sq(Hz)	V_sq(V)	DC_sq(V)	Phase(deg)	rise_tr(s)	fall_tr(s)	rise_sq(s)	fall_sq(s)
38	3936.00	0.6600	4.8388	3954.00	90.0000	46.6400	85.80	0.000084	0.000093	0.000022	0.000027
37	3971.00	0.6400	4.8350	3994.00	92.0000	46.2600	84.50	0.000079	0.000089	0.000022	0.000027
36	4034.00	0.6400	4.8337	4045.00	90.0000	45.6300	87.60	0.000080	0.000086	0.000022	0.000026
35	4078.00	0.6400	4.8337	4049.00	90.0000	45.6300	85.50	0.000080	0.000090	0.000022	0.000026
34	4102.00	0.6400	4.8325	4098.00	90.0000	45.2500	84.30	0.000081	0.000087	0.000022	0.000026
33	4143.00	0.6400	4.8425	4143.00	90.0000	47.3900	87.50	0.000076	0.000087	0.000022	0.000026
32	4202.00	0.6200	4.8287	4186.00	90.0000	48.0200	83.30	0.000075	0.000086	0.000021	0.000026
31	4243.00	0.6000	4.8249	4240.00	92.0000	45.8800	84.10	0.000075	0.000085	0.000022	0.000027
30	4239.00	0.6000	4.8350	4230.00	90.0000	48.1400	87.40	0.000075	0.000086	0.000022	0.000027
29	4276.00	0.6000	4.8413	4278.00	90.0000	47.7700	85.40	0.000078	0.000085	0.000022	0.000027
28	4331.00	0.5800	4.8375	4330.00	90.0000	44.7500	85.10	0.000077	0.000085	0.000022	0.000027
27	4380.00	0.5800	4.8325	4384.00	90.0000	47.0100	87.40	0.000077	0.000084	0.000027	0.000031
26	3697.00	0.8200	4.8362	3796.00	90.0000	45.6300	86.40	0.000094	0.000110	0.000023	0.000027
25	2614.00	0.9000	4.8287	4428.00	90.0000	47.3900	81.70	0.000079	0.000087	0.000022	0.000028
24	4511.00	0.5600	4.8300	4511.00	90.0000	46.2600	82.70	0.000075	0.000087	0.000029	0.000043
23	3476.00	0.7200	4.8187	3883.00	92.0000	48.2700	84.80	0.000074	0.000079	0.000022	0.000028
22	4649.00	0.5200	4.8199	4715.00	90.0000	47.8900	86.60	0.000074	0.000082	0.000022	0.000028
21	4773.00	0.5400	4.8274	4813.00	90.0000	45.6300	86.90	0.000069	0.000078	0.000022	0.000028
20	4062.00	0.5400	4.7697	3981.00	90.0000	46.5100	84.80	0.000070	0.000099	0.000049	0.000039
19	4931.00	0.6000	4.8187	4645.00	90.0000	45.5100	87.50	98999999999999993426744560981400092672.000000	0.000074	0.000022	0.000047
18	5018.00	0.5000	4.8149	5036.00	90.0000	46.5100	86.50	0.000069	0.000074	0.000022	0.000029
