Frequency(Hz)	Amplitude
1.567840577970000027e+02	-1.051699894010080101e+02
1.571655275239999980e+02	-1.051699897599986855e+02
1.575469972509999934e+02	-1.051699897599999787e+02
1.579284669779999888e+02	-1.051699897545197615e+02
1.583099367049999842e+02	1.048509875360427868e+20
1.586914064319999795e+02	-1.051699897599948059e+02
1.590728761590000033e+02	-1.051699897599999218e+02
1.594543458859999987e+02	-1.051699897586208863e+02
1.598358156129999941e+02	-1.051699897599986855e+02
1.602172853399999894e+02	-1.051699897599999787e+02
1.605987550669999848e+02	-1.051699897596536317e+02
1.609802247939999802e+02	1.048509875360427868e+20
1.613616945210000040e+02	-1.051699897599948059e+02
1.617431642479999994e+02	-1.051699897599999218e+02
1.621246339749999947e+02	-1.051699897599986713e+02
1.625061037019999901e+02	-1.051699897599986855e+02
1.628875734289999855e+02	-1.051699897599999787e+02
1.632690431559999809e+02	-1.051699894013943464e+02
1.636505128830000046e+02	1.048509875360427868e+20
1.640319826100000000e+02	-1.051699897599948059e+02
1.644134523369999954e+02	-1.051699897599999218e+02
1.647949220639999908e+02	-1.051699896687677125e+02
1.651763917909999861e+02	-1.051699897599986855e+02
1.655578615179999815e+02	-1.051699897599999787e+02
1.659393312450000053e+02	-1.051699897543971503e+02
1.663208009720000007e+02	1.048509875360427868e+20
1.667022706989999961e+02	-1.051699897599948059e+02
1.670837404259999914e+02	-1.051699897599999218e+02
1.674652101529999868e+02	-1.051699897596474926e+02
1.678466798799999822e+02	-1.051699897599986855e+02
1.682281496069999776e+02	-1.051699897599999787e+02
1.686096193340000013e+02	-1.051699897599945359e+02
1.689910890609999967e+02	1.048509875360427868e+20
1.693725587879999921e+02	-1.051699897599948059e+02
1.697540285149999875e+02	-1.051699897599999218e+02
1.701354982419999828e+02	-1.051699897596532907e+02
1.705169679689999782e+02	-1.051699897599986855e+02
1.708984376960000020e+02	-1.051699897599999787e+02
1.712799074229999974e+02	-1.051699897585682777e+02
1.716613771499999928e+02	1.048509875360427868e+20
1.720428468769999881e+02	-1.051699897599948059e+02
