Frequency(Hz)	Amplitude
1.762390138739999941e+02	2.058500000000000000e+04
1.766204836009999894e+02	-2.856500000000000000e+04
1.770019533279999848e+02	-2.449800000000000000e+04
1.773834230549999802e+02	1.649300000000000000e+04
1.777648927820000040e+02	1.648400000000000000e+04
1.781463625089999994e+02	-2.447500000000000000e+04
1.785278322359999947e+02	8.302000000000000000e+03
1.789093019629999901e+02	-4.015000000000000000e+03
1.792907716899999855e+02	-1.627700000000000000e+04
1.796722414169999809e+02	-8.087000000000000000e+03
1.800537111440000047e+02	-2.858100000000000000e+04
1.804351808710000000e+02	1.239900000000000000e+04
1.808166505979999954e+02	9.900000000000000000e+01
1.811981203249999908e+02	2.877400000000000000e+04
1.815795900519999861e+02	-1.627600000000000000e+04
1.819610597789999815e+02	-4.035000000000000000e+03
1.823425295059999769e+02	2.058900000000000000e+04
1.827239992330000007e+02	-1.218400000000000000e+04
1.831054689599999961e+02	-2.038500000000000000e+04
1.834869386869999914e+02	-8.083000000000000000e+03
1.838684084139999868e+02	2.466600000000000000e+04
1.842498781409999822e+02	2.877800000000000000e+04
1.846313478679999776e+02	4.204000000000000000e+03
1.850128175950000013e+02	-3.269000000000000000e+04
1.853942873219999967e+02	-3.265900000000000000e+04
1.857757570489999921e+02	-2.038100000000000000e+04
1.861572267759999875e+02	8.294000000000000000e+03
1.865386965029999828e+02	-1.217800000000000000e+04
1.869201662299999782e+02	-1.630100000000000000e+04
1.873016359570000020e+02	-3.990000000000000000e+03
1.876831056839999974e+02	-1.627900000000000000e+04
1.880645754109999928e+02	1.647500000000000000e+04
1.884460451379999881e+02	1.100000000000000000e+02
1.888275148649999835e+02	1.648000000000000000e+04
1.892089845919999789e+02	1.040000000000000000e+02
1.895904543190000027e+02	2.468400000000000000e+04
1.899719240459999980e+02	6.000000000000000000e+01
1.903533937729999934e+02	-2.037100000000000000e+04
1.907348634999999888e+02	-1.218500000000000000e+04
1.911163332269999842e+02	-2.448000000000000000e+04
1.914978029539999795e+02	-2.037100000000000000e+04
1.918792726810000033e+02	-1.220300000000000000e+04
1.922607424079999987e+02	-1.627800000000000000e+04
1.926422121349999941e+02	1.239500000000000000e+04
1.930236818619999895e+02	-4.010000000000000000e+03
1.934051515889999848e+02	-2.037000000000000000e+04
1.937866213159999802e+02	-3.996000000000000000e+03
1.941680910430000040e+02	2.467800000000000000e+04
1.945495607699999994e+02	-1.217900000000000000e+04
1.949310304969999947e+02	-3.269500000000000000e+04
1.953125002239999901e+02	2.878000000000000000e+04
1.956939699509999855e+02	1.648900000000000000e+04
1.960754396779999809e+02	-2.857900000000000000e+04
1.964569094049999762e+02	2.059000000000000000e+04
1.968383791320000000e+02	2.876400000000000000e+04
1.972198488589999954e+02	-3.266200000000000000e+04
1.976013185859999908e+02	1.100000000000000000e+02
1.979827883129999861e+02	6.300000000000000000e+01
1.983642580399999815e+02	2.468500000000000000e+04
1.987457277669999769e+02	-1.628200000000000000e+04
1.991271974940000007e+02	8.291000000000000000e+03
1.995086672209999961e+02	-8.083000000000000000e+03
1.998901369479999914e+02	-2.858900000000000000e+04
2.002716066749999868e+02	8.300000000000000000e+03
2.006530764019999822e+02	1.649100000000000000e+04
2.010345461289999776e+02	-2.039100000000000000e+04
2.014160158560000013e+02	1.649500000000000000e+04
2.017974855829999967e+02	-2.447700000000000000e+04
2.021789553099999921e+02	-3.994000000000000000e+03
2.025604250369999875e+02	-2.856300000000000000e+04
2.029418947639999828e+02	-4.065000000000000000e+03
2.033233644909999782e+02	2.059000000000000000e+04
2.037048342180000020e+02	-2.037400000000000000e+04
2.040863039449999974e+02	-2.448200000000000000e+04
2.044677736719999928e+02	-1.217800000000000000e+04
2.048492433989999881e+02	2.876500000000000000e+04
2.052307131259999835e+02	-3.266200000000000000e+04
2.056121828529999789e+02	8.301000000000000000e+03
2.059936525800000027e+02	2.464900000000000000e+04
2.063751223069999980e+02	-2.037000000000000000e+04
2.067565920339999934e+02	1.239100000000000000e+04
2.071380617609999888e+02	-3.266900000000000000e+04
2.075195314879999842e+02	1.649400000000000000e+04
2.079010012149999795e+02	-2.039800000000000000e+04
2.082824709420000033e+02	-1.218000000000000000e+04
2.086639406689999987e+02	-1.218100000000000000e+04
2.090454103959999941e+02	4.185000000000000000e+03
2.094268801229999895e+02	-1.217800000000000000e+04
2.098083498499999848e+02	8.290000000000000000e+03
2.101898195769999802e+02	-3.266400000000000000e+04
2.105712893039999756e+02	4.206000000000000000e+03
2.109527590309999994e+02	-8.131000000000000000e+03
2.113342287579999947e+02	2.878100000000000000e+04
2.117156984849999901e+02	-8.089000000000000000e+03
2.120971682119999855e+02	2.877000000000000000e+04
2.124786379389999809e+02	2.468700000000000000e+04
2.128601076659999762e+02	2.466500000000000000e+04
2.132415773930000000e+02	-3.266000000000000000e+04
2.136230471199999954e+02	-2.856200000000000000e+04
2.140045168469999908e+02	-2.450600000000000000e+04
2.143859865739999861e+02	8.302000000000000000e+03
2.147674563009999815e+02	-1.218700000000000000e+04
2.151489260279999769e+02	-3.995000000000000000e+03
2.155303957550000007e+02	-1.217800000000000000e+04
2.159118654819999961e+02	-2.039800000000000000e+04
