Frequency(Hz)	Amplitude(dBV)
2.811432e+02	-3.266100e+04
2.815247e+02	-8.077000e+03
2.819061e+02	2.056200e+04
2.822876e+02	1.649800e+04
2.826691e+02	4.208000e+03
2.830505e+02	-8.095000e+03
2.834320e+02	1.650000e+04
2.838135e+02	2.058100e+04
2.841949e+02	-1.627400e+04
2.845764e+02	-8.078000e+03
2.849579e+02	-4.028000e+03
2.853394e+02	-3.265300e+04
2.857208e+02	-8.084000e+03
2.861023e+02	-2.447200e+04
2.864838e+02	8.308000e+03
2.868652e+02	-1.219900e+04
2.872467e+02	8.306000e+03
2.876282e+02	-8.079000e+03
2.880096e+02	-4.003000e+03
2.883911e+02	2.059700e+04
2.887726e+02	2.468200e+04
2.891541e+02	2.878100e+04
2.895355e+02	-2.855600e+04
2.899170e+02	-3.269100e+04
2.902985e+02	-3.265300e+04
2.906799e+02	1.120000e+02
2.910614e+02	-2.447500e+04
2.914429e+02	-1.626700e+04
2.918243e+02	2.467700e+04
2.922058e+02	2.468800e+04
2.925873e+02	-3.981000e+03
2.929688e+02	-1.630800e+04
2.933502e+02	4.213000e+03
2.937317e+02	-2.856200e+04
2.941132e+02	-2.037500e+04
2.944946e+02	1.650100e+04
2.948761e+02	2.057300e+04
2.952576e+02	2.059400e+04
2.956390e+02	1.240200e+04
2.960205e+02	-1.219500e+04
2.964020e+02	2.469300e+04
2.967834e+02	-2.856700e+04
2.971649e+02	2.878200e+04
2.975464e+02	-3.980000e+03
2.979279e+02	2.464700e+04
2.983093e+02	1.160000e+02
2.986908e+02	-8.081000e+03
2.990723e+02	2.877500e+04
2.994537e+02	4.214000e+03
2.998352e+02	2.467600e+04
3.002167e+02	1.130000e+02
3.005981e+02	8.307000e+03
3.009796e+02	8.280000e+03
3.013611e+02	-8.075000e+03
3.017426e+02	-2.037200e+04
3.021240e+02	-2.856300e+04
3.025055e+02	-2.855400e+04
3.028870e+02	-2.039100e+04
3.032684e+02	2.469200e+04
3.036499e+02	2.469100e+04
3.040314e+02	-1.219200e+04
3.044128e+02	-2.855400e+04
3.047943e+02	2.058600e+04
3.051758e+02	-2.446500e+04
3.055573e+02	1.650100e+04
3.059387e+02	-3.272800e+04
3.063202e+02	-2.855500e+04
3.067017e+02	2.468800e+04
3.070831e+02	1.239300e+04
3.074646e+02	-1.217000e+04
3.078461e+02	2.467400e+04
3.082275e+02	4.211000e+03
3.086090e+02	-2.855600e+04
3.089905e+02	2.056900e+04
3.093719e+02	2.879000e+04
3.097534e+02	-3.266000e+04
3.101349e+02	2.468700e+04
3.105164e+02	1.240700e+04
3.108978e+02	-8.105000e+03
3.112793e+02	1.170000e+02
3.116608e+02	-3.265400e+04
3.120422e+02	-1.218600e+04
3.124237e+02	1.240800e+04
3.128052e+02	2.058500e+04
3.131866e+02	1.649800e+04
3.135681e+02	-8.074000e+03
3.139496e+02	-3.270900e+04
3.143311e+02	-2.036200e+04
3.147125e+02	-3.984000e+03
3.150940e+02	2.877900e+04
3.154755e+02	-8.073000e+03
3.158569e+02	-2.447900e+04
3.162384e+02	-8.076000e+03
3.166199e+02	-2.445900e+04
3.170013e+02	-8.101000e+03
3.173828e+02	-1.216900e+04
3.177643e+02	-2.856300e+04
3.181458e+02	1.649600e+04
3.185272e+02	4.216000e+03
3.189087e+02	-8.107000e+03
3.192902e+02	1.180000e+02
3.196716e+02	1.240300e+04
3.200531e+02	-2.037600e+04
